Location,Population,STATEFP,PLACEFP,PLACENS,GEOID,GEOIDFQ,NAME,NAMELSAD,LSAD,CLASSFP,PCICBSA,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,hospital_count,Fire_station_counts_Population,Fire_station_counts_STATEFP,Fire_station_counts_PLACEFP,Fire_station_counts_PLACENS,Fire_station_counts_GEOID,Fire_station_counts_GEOIDFQ,Fire_station_counts_NAME,Fire_station_counts_NAMELSAD,Fire_station_counts_LSAD,Fire_station_counts_CLASSFP,Fire_station_counts_PCICBSA,Fire_station_counts_MTFCC,Fire_station_counts_FUNCSTAT,Fire_station_counts_ALAND,Fire_station_counts_AWATER,Fire_station_counts_INTPTLAT,Fire_station_counts_INTPTLON,Fire_station_counts_fire_station_count,Shortest lines_Population,Shortest lines_STATEFP,Shortest lines_PLACEFP,Shortest lines_PLACENS,Shortest lines_GEOID,Shortest lines_GEOIDFQ,Shortest lines_NAME,Shortest lines_NAMELSAD,Shortest lines_LSAD,Shortest lines_CLASSFP,Shortest lines_PCICBSA,Shortest lines_MTFCC,Shortest lines_FUNCSTAT,Shortest lines_ALAND,Shortest lines_AWATER,Shortest lines_INTPTLAT,Shortest lines_INTPTLON,Shortest lines_objectid,Shortest lines_fraarcid,Shortest lines_frfranode,Shortest lines_tofranode,Shortest lines_stfips,Shortest lines_cntyfips,Shortest lines_stcntyfips,Shortest lines_stateab,Shortest lines_country,Shortest lines_fradistrct,Shortest lines_rrowner1,Shortest lines_rrowner2,Shortest lines_rrowner3,Shortest lines_trkrghts1,Shortest lines_trkrghts2,Shortest lines_trkrghts3,Shortest lines_trkrghts4,Shortest lines_trkrghts5,Shortest lines_trkrghts6,Shortest lines_trkrghts7,Shortest lines_trkrghts8,Shortest lines_trkrghts9,Shortest lines_division,Shortest lines_subdiv,Shortest lines_branch,Shortest lines_yardname,Shortest lines_passngr,Shortest lines_stracnet,Shortest lines_tracks,Shortest lines_net,Shortest lines_miles,Shortest lines_km,Shortest lines_timezone,Shortest lines_shape_Length,Shortest lines_distance
St. John town," 22,847 ","18","66852","02396898","1866852",1600000US1866852,St. John,St. John town,"43",C1,N,G4110,A,"32992729","223600","+41.4418165","-087.4677792",0," 22,847 ","18","66852","02396898","1866852",1600000US1866852,St. John,St. John town,"43",C1,N,G4110,A,"32992729","223600","+41.4418165","-087.4677792",1," 22,847 ","18","66852","02396898","1866852",1600000US1866852,St. John,St. John town,"43",C1,N,G4110,A,"32992729","223600","+41.4418165","-087.4677792","335359","494491","416493","416646","18","089","18089",IN,US,"4",CSXT,,,AMTK,,,,,,,,,CHICAGO,MONON,#N\A,,A,,1,M,6.00497027,9.66408221,C,0.0882637045747651,0
St. Leon town," 664 ","18","66978","02396899","1866978",1600000US1866978,St. Leon,St. Leon town,"43",C1,N,G4110,A,"17683082","26209","+39.2994700","-084.9665125",0," 664 ","18","66978","02396899","1866978",1600000US1866978,St. Leon,St. Leon town,"43",C1,N,G4110,A,"17683082","26209","+39.2994700","-084.9665125",1," 664 ","18","66978","02396899","1866978",1600000US1866978,St. Leon,St. Leon town,"43",C1,N,G4110,A,"17683082","26209","+39.2994700","-084.9665125","190744","491322","429778","429926","18","047","18047",IN,US,"4",IORY,,,,,,,,,,,,NORTHERN,BROOKVILLE,#N\A,,,,1,M,5.00779678,8.05928382,E,0.0822577382375906,2404.783527441
St. Paul town," 959 ","18","67212","02396900","1867212",1600000US1867212,St. Paul,St. Paul town,"43",C1,N,G4110,A,"757752","0","+39.4281522","-085.6287126",0," 959 ","18","67212","02396900","1867212",1600000US1867212,St. Paul,St. Paul town,"43",C1,N,G4110,A,"757752","0","+39.4281522","-085.6287126",1," 959 ","18","67212","02396900","1867212",1600000US1867212,St. Paul,St. Paul town,"43",C1,N,G4110,A,"757752","0","+39.4281522","-085.6287126","189893","490471","426982","427295","18","145","18145",IN,US,"4",CIND,,,,,,,,,,,,NORTHERN,CIND,#N\A,,,,1,M,2.46444026,3.96614008,E,0.0421101281432003,0
Salamonia town," 149 ","18","67302","02396902","1867302",1600000US1867302,Salamonia,Salamonia town,"43",C1,N,G4110,A,"1898444","0","+40.3859612","-084.8649352",0," 149 ","18","67302","02396902","1867302",1600000US1867302,Salamonia,Salamonia town,"43",C1,N,G4110,A,"1898444","0","+40.3859612","-084.8649352",1," 149 ","18","67302","02396902","1867302",1600000US1867302,Salamonia,Salamonia town,"43",C1,N,G4110,A,"1898444","0","+40.3859612","-084.8649352","206751","507346","430301","429947","18","075","18075",IN,US,"4",RJCW,,,,,,,,,,,,RJCW,,ST MARYS,,,,1,M,5.10268684,8.21199487,E,0.0964935535929825,3705.64037487376
Salem city," 6,307 ","18","67464","02396525","1867464",1600000US1867464,Salem,Salem city,"25",C1,N,G4110,A,"10937951","45317","+38.6045837","-086.0974586",1," 6,307 ","18","67464","02396525","1867464",1600000US1867464,Salem,Salem city,"25",C1,N,G4110,A,"10937951","45317","+38.6045837","-086.0974586",1," 6,307 ","18","67464","02396525","1867464",1600000US1867464,Salem,Salem city,"25",C1,N,G4110,A,"10937951","45317","+38.6045837","-086.0974586","195220","495805","424852","424883","18","175","18175",IN,US,"4",CSXT,,,,,,,,,,,,,HOOSIER,,,,,0,X,0.48897431,0.78692944,E,0.00821845415946394,0
Saltillo town," 98 ","18","67626","02396903","1867626",1600000US1867626,Saltillo,Saltillo town,"43",C1,N,G4110,A,"2981853","5397","+38.6652245","-086.2974840",0," 98 ","18","67626","02396903","1867626",1600000US1867626,Saltillo,Saltillo town,"43",C1,N,G4110,A,"2981853","5397","+38.6652245","-086.2974840",0," 98 ","18","67626","02396903","1867626",1600000US1867626,Saltillo,Saltillo town,"43",C1,N,G4110,A,"2981853","5397","+38.6652245","-086.2974840","194562","495147","423913","424136","18","175","18175",IN,US,"4",CSXT,,,,,,,,,,,,,HOOSIER,,,,,0,X,2.71324024,4.36654563,E,0.0478680067336328,0
Sandborn town," 357 ","18","67698","02396904","1867698",1600000US1867698,Sandborn,Sandborn town,"43",C1,N,G4110,A,"1010780","0","+38.8967671","-087.1846322",0," 357 ","18","67698","02396904","1867698",1600000US1867698,Sandborn,Sandborn town,"43",C1,N,G4110,A,"1010780","0","+38.8967671","-087.1846322",1," 357 ","18","67698","02396904","1867698",1600000US1867698,Sandborn,Sandborn town,"43",C1,N,G4110,A,"1010780","0","+38.8967671","-087.1846322","194262","494847","418611","418635","18","083","18083",IN,US,"4",ISRR,,,,,,,,,,,,NORTHERN,HAWTHORNE,#N\A,,,,1,M,0.8852587,1.42468863,C,0.0145936098349327,0
Santa Claus town," 2,601 ","18","68022","02396905","1868022",1600000US1868022,Santa Claus,Santa Claus town,"43",C1,N,G4110,A,"16793606","1087412","+38.1160647","-086.9272441",0," 2,601 ","18","68022","02396905","1868022",1600000US1868022,Santa Claus,Santa Claus town,"43",C1,N,G4110,A,"16793606","1087412","+38.1160647","-086.9272441",1," 2,601 ","18","68022","02396905","1868022",1600000US1868022,Santa Claus,Santa Claus town,"43",C1,N,G4110,A,"16793606","1087412","+38.1160647","-086.9272441","201328","501917","419731","419811","18","147","18147",IN,US,"4",HOS,,,,,,,,,,,,,,,,,,0,O,1.16089913,1.86828979,C,0.0187129952282823,0
Saratoga town," 227 ","18","68058","02396906","1868058",1600000US1868058,Saratoga,Saratoga town,"43",C1,N,G4110,A,"685578","0","+40.2368184","-084.9158381",0," 227 ","18","68058","02396906","1868058",1600000US1868058,Saratoga,Saratoga town,"43",C1,N,G4110,A,"685578","0","+40.2368184","-084.9158381",1," 227 ","18","68058","02396906","1868058",1600000US1868058,Saratoga,Saratoga town,"43",C1,N,G4110,A,"685578","0","+40.2368184","-084.9158381","335207","494174","429626","430059","18","135","18135",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,INDIANAPOLIS LINE,#N\A,,,S,2,M,5.41785078,8.71920309,E,0.101739131513352,7490.46201218799
Schererville town," 29,668 ","18","68220","02396907","1868220",1600000US1868220,Schererville,Schererville town,"43",C1,N,G4110,A,"39133007","85138","+41.4851765","-087.4433950",0," 29,668 ","18","68220","02396907","1868220",1600000US1868220,Schererville,Schererville town,"43",C1,N,G4110,A,"39133007","85138","+41.4851765","-087.4433950",3," 29,668 ","18","68220","02396907","1868220",1600000US1868220,Schererville,Schererville town,"43",C1,N,G4110,A,"39133007","85138","+41.4851765","-087.4433950","202186","502775","416472","416469","18","089","18089",IN,US,"4",NS,,,CSXT,,,,,,,,,GREAT LAKES,KANKAKEE LINE (NS),#N\A,,,,1,M,0.71481806,1.15039046,C,0.0103583280049562,0
Schneider town," 263 ","18","68238","02396908","1868238",1600000US1868238,Schneider,Schneider town,"43",C1,N,G4110,A,"2227376","0","+41.1920327","-087.4456997",0," 263 ","18","68238","02396908","1868238",1600000US1868238,Schneider,Schneider town,"43",C1,N,G4110,A,"2227376","0","+41.1920327","-087.4456997",1," 263 ","18","68238","02396908","1868238",1600000US1868238,Schneider,Schneider town,"43",C1,N,G4110,A,"2227376","0","+41.1920327","-087.4456997","195597","496182","416606","416633","18","089","18089",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,S,2.82080497,4.53965464,C,0.0409971180225502,0
Scottsburg city," 7,369 ","18","68526","02396560","1868526",1600000US1868526,Scottsburg,Scottsburg city,"25",C1,N,G4110,A,"14347565","62602","+38.6844682","-085.7822167",1," 7,369 ","18","68526","02396560","1868526",1600000US1868526,Scottsburg,Scottsburg city,"25",C1,N,G4110,A,"14347565","62602","+38.6844682","-085.7822167",2," 7,369 ","18","68526","02396560","1868526",1600000US1868526,Scottsburg,Scottsburg city,"25",C1,N,G4110,A,"14347565","62602","+38.6844682","-085.7822167","201203","501792","426300","426301","18","143","18143",IN,US,"4",LIRC,,,,,,,,,,,,,,,,,,0,S,0.41117641,0.66172562,E,0.00596490509184321,0
Seelyville town," 1,010 ","18","68652","02396910","1868652",1600000US1868652,Seelyville,Seelyville town,"43",C1,N,G4110,A,"2299334","51867","+39.4933520","-087.2669157",0," 1,010 ","18","68652","02396910","1868652",1600000US1868652,Seelyville,Seelyville town,"43",C1,N,G4110,A,"2299334","51867","+39.4933520","-087.2669157",1," 1,010 ","18","68652","02396910","1868652",1600000US1868652,Seelyville,Seelyville town,"43",C1,N,G4110,A,"2299334","51867","+39.4933520","-087.2669157","205519","506114","417845","418109","18","167","18167",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,1.76802592,2.84536759,E,0.0329726826231372,1997.93686350417
Sellersburg town," 10,057 ","18","68670","02396911","1868670",1600000US1868670,Sellersburg,Sellersburg town,"43",C1,N,G4110,A,"19195303","156191","+38.3995053","-085.7742660",0," 10,057 ","18","68670","02396911","1868670",1600000US1868670,Sellersburg,Sellersburg town,"43",C1,N,G4110,A,"19195303","156191","+38.3995053","-085.7742660",1," 10,057 ","18","68670","02396911","1868670",1600000US1868670,Sellersburg,Sellersburg town,"43",C1,N,G4110,A,"19195303","156191","+38.3995053","-085.7742660","190675","491253","426376","426389","18","019","18019",IN,US,"4",LIRC,CSXT,,INRD,,,,,,,,,LOUISVILLE,LOUISVILLE SECONDARY,LIRC MAIN,,,S,1,M,0.61900741,0.99619785,E,0.00902250178373514,0
Selma town," 743 ","18","68706","02397650","1868706",1600000US1868706,Selma,Selma town,"43",C1,N,G4110,A,"2318646","10889","+40.1866204","-085.2738378",0," 743 ","18","68706","02397650","1868706",1600000US1868706,Selma,Selma town,"43",C1,N,G4110,A,"2318646","10889","+40.1866204","-085.2738378",1," 743 ","18","68706","02397650","1868706",1600000US1868706,Selma,Selma town,"43",C1,N,G4110,A,"2318646","10889","+40.1866204","-085.2738378","336462","501090","428594","428783","18","035","18035",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,INDIANAPOLIS LINE,#N\A,,,S,2,M,2.85897412,4.60108205,E,0.0540266070339241,0
Seymour city," 21,618 ","18","68832","02395850","1868832",1600000US1868832,Seymour,Seymour city,"25",C1,Y,G4110,A,"31422741","12100","+38.9475161","-085.8912847",1," 21,618 ","18","68832","02395850","1868832",1600000US1868832,Seymour,Seymour city,"25",C1,Y,G4110,A,"31422741","12100","+38.9475161","-085.8912847",3," 21,618 ","18","68832","02395850","1868832",1600000US1868832,Seymour,Seymour city,"25",C1,Y,G4110,A,"31422741","12100","+38.9475161","-085.8912847","195808","496393","425780","425838","18","071","18071",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,S,0.99202188,1.59650766,E,0.0181369569070353,0
Shadeland town," 1,800 ","18","68868","02397651","1868868",1600000US1868868,Shadeland,Shadeland town,"43",C1,N,G4110,A,"70219561","581740","+40.3448178","-086.9636890",0," 1,800 ","18","68868","02397651","1868868",1600000US1868868,Shadeland,Shadeland town,"43",C1,N,G4110,A,"70219561","581740","+40.3448178","-086.9636890",1," 1,800 ","18","68868","02397651","1868868",1600000US1868868,Shadeland,Shadeland town,"43",C1,N,G4110,A,"70219561","581740","+40.3448178","-086.9636890","335372","494512","420077","420103","18","157","18157",IN,US,"4",CSXT,,,AMTK,NS,,,,,,,,CHICAGO,MONON,#N\A,,A,,1,M,0.38382816,0.61771277,E,0.00677225559642864,0
Shamrock Lakes town," 220 ","18","68976","02397652","1868976",1600000US1868976,Shamrock Lakes,Shamrock Lakes town,"43",C1,N,G4110,A,"681433","143779","+40.4114386","-085.4274338",0," 220 ","18","68976","02397652","1868976",1600000US1868976,Shamrock Lakes,Shamrock Lakes town,"43",C1,N,G4110,A,"681433","143779","+40.4114386","-085.4274338",0," 220 ","18","68976","02397652","1868976",1600000US1868976,Shamrock Lakes,Shamrock Lakes town,"43",C1,N,G4110,A,"681433","143779","+40.4114386","-085.4274338","195924","496509","427907","427932","18","009","18009",IN,US,"4",CERA,,,,,,,,,,,,,,,,,,0,O,0.28859796,0.46445432,E,0.0054639167893551,6655.17409694409
Sharpsville town," 549 ","18","69048","02397653","1869048",1600000US1869048,Sharpsville,Sharpsville town,"43",C1,N,G4110,A,"596702","0","+40.3796832","-086.0868966",0," 549 ","18","69048","02397653","1869048",1600000US1869048,Sharpsville,Sharpsville town,"43",C1,N,G4110,A,"596702","0","+40.3796832","-086.0868966",1," 549 ","18","69048","02397653","1869048",1600000US1869048,Sharpsville,Sharpsville town,"43",C1,N,G4110,A,"596702","0","+40.3796832","-086.0868966","194076","494661","424886","424965","18","159","18159",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,X,1.83808864,2.95812284,E,0.0278114090973301,0
Shelburn town," 1,103 ","18","69192","02397654","1869192",1600000US1869192,Shelburn,Shelburn town,"43",C1,N,G4110,A,"1788482","0","+39.1791437","-087.3971422",0," 1,103 ","18","69192","02397654","1869192",1600000US1869192,Shelburn,Shelburn town,"43",C1,N,G4110,A,"1788482","0","+39.1791437","-087.3971422",2," 1,103 ","18","69192","02397654","1869192",1600000US1869192,Shelburn,Shelburn town,"43",C1,N,G4110,A,"1788482","0","+39.1791437","-087.3971422","335602","495158","417064","416983","18","153","18153",IN,US,"4",CSXT,,,,,,,,,,,,NASHVILLE,CED,#N\A,,,S,1,M,1.81475984,2.9205787,E,0.026655744136417,0
Shelbyville city," 20,159 ","18","69318","02395864","1869318",1600000US1869318,Shelbyville,Shelbyville city,"25",C1,N,G4110,A,"35466179","690671","+39.5452775","-085.7794992",1," 20,159 ","18","69318","02395864","1869318",1600000US1869318,Shelbyville,Shelbyville city,"25",C1,N,G4110,A,"35466179","690671","+39.5452775","-085.7794992",3," 20,159 ","18","69318","02395864","1869318",1600000US1869318,Shelbyville,Shelbyville city,"25",C1,N,G4110,A,"35466179","690671","+39.5452775","-085.7794992","202030","502619","426147","426206","18","145","18145",IN,US,"4",CSXT,,,,,,,,,,,,,,,,,,0,O,0.74694105,1.20208751,E,0.0137693302378628,0
Sheridan town," 3,258 ","18","69354","02397655","1869354",1600000US1869354,Sheridan,Sheridan town,"43",C1,N,G4110,A,"6525153","9524","+40.1308995","-086.2185406",0," 3,258 ","18","69354","02397655","1869354",1600000US1869354,Sheridan,Sheridan town,"43",C1,N,G4110,A,"6525153","9524","+40.1308995","-086.2185406",1," 3,258 ","18","69354","02397655","1869354",1600000US1869354,Sheridan,Sheridan town,"43",C1,N,G4110,A,"6525153","9524","+40.1308995","-086.2185406","205630","506225","424664","424666","18","057","18057",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,6.73584627,10.84031547,E,0.0993886432382446,15711.8914007959
Shipshewana town," 854 ","18","69480","02397658","1869480",1600000US1869480,Shipshewana,Shipshewana town,"43",C1,N,G4110,A,"3533508","0","+41.6742821","-085.5764769",0," 854 ","18","69480","02397658","1869480",1600000US1869480,Shipshewana,Shipshewana town,"43",C1,N,G4110,A,"3533508","0","+41.6742821","-085.5764769",1," 854 ","18","69480","02397658","1869480",1600000US1869480,Shipshewana,Shipshewana town,"43",C1,N,G4110,A,"3533508","0","+41.6742821","-085.5764769","195606","496191","426564","426655","18","039","18039",IN,US,"4",GDLK,,,,,,,,,,,,,,,,,,0,S,1.12983695,1.81829996,E,0.0204860797233468,17336.6139263635
Shirley town," 814 ","18","69516","02397659","1869516",1600000US1869516,Shirley,Shirley town,"43",C1,N,G4110,A,"935682","0","+39.8909057","-085.5799390",0," 814 ","18","69516","02397659","1869516",1600000US1869516,Shirley,Shirley town,"43",C1,N,G4110,A,"935682","0","+39.8909057","-085.5799390",1," 814 ","18","69516","02397659","1869516",1600000US1869516,Shirley,Shirley town,"43",C1,N,G4110,A,"935682","0","+39.8909057","-085.5799390","205635","506230","427580","427577","18","065","18065",IN,US,"4",CKSI,,,,,,,,,,,,,,,,T,,1,X,0.18226794,0.2933324,E,0.00272211764742195,13653.8902147247
Shoals town," 675 ","18","69552","02397661","1869552",1600000US1869552,Shoals,Shoals town,"43",C1,N,G4110,A,"4723690","245876","+38.6654654","-086.7937334",0," 675 ","18","69552","02397661","1869552",1600000US1869552,Shoals,Shoals town,"43",C1,N,G4110,A,"4723690","245876","+38.6654654","-086.7937334",1," 675 ","18","69552","02397661","1869552",1600000US1869552,Shoals,Shoals town,"43",C1,N,G4110,A,"4723690","245876","+38.6654654","-086.7937334","195486","496071","421546","422055","18","101","18101",IN,US,"4",CSXT,,,,,,,,,,,,LOUISVILLE,INDIANA (CSXT),#N\A,,,,1,M,2.35772279,3.79439461,C,0.0426523482771532,0
Sidney town," 128 ","18","69678","02397662","1869678",1600000US1869678,Sidney,Sidney town,"43",C1,N,G4110,A,"325044","11786","+41.1050450","-085.7429362",0," 128 ","18","69678","02397662","1869678",1600000US1869678,Sidney,Sidney town,"43",C1,N,G4110,A,"325044","11786","+41.1050450","-085.7429362",1," 128 ","18","69678","02397662","1869678",1600000US1869678,Sidney,Sidney town,"43",C1,N,G4110,A,"325044","11786","+41.1050450","-085.7429362","335261","494272","426295","426514","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,GREAT LAKES,CHICAGO DISTRICT,#N\A,,,S,1,M,1.95027188,3.13866463,E,0.0370032495112019,0
Silver Lake town," 875 ","18","69768","02397664","1869768",1600000US1869768,Silver Lake,Silver Lake town,"43",C1,N,G4110,A,"1404698","3279","+41.0743169","-085.8928704",0," 875 ","18","69768","02397664","1869768",1600000US1869768,Silver Lake,Silver Lake town,"43",C1,N,G4110,A,"1404698","3279","+41.0743169","-085.8928704",1," 875 ","18","69768","02397664","1869768",1600000US1869768,Silver Lake,Silver Lake town,"43",C1,N,G4110,A,"1404698","3279","+41.0743169","-085.8928704","335144","493733","425787","425794","18","085","18085",IN,US,"4",NS,,,,,,,,,,,,LAKE,MARION BRANCH,#N\A,,,,1,M,2.32992565,3.74965936,E,0.0339990449773353,0
Somerville town," 249 ","18","70542","02397665","1870542",1600000US1870542,Somerville,Somerville town,"43",C1,N,G4110,A,"925498","3336","+38.2796732","-087.3757477",0," 249 ","18","70542","02397665","1870542",1600000US1870542,Somerville,Somerville town,"43",C1,N,G4110,A,"925498","3336","+38.2796732","-087.3757477",1," 249 ","18","70542","02397665","1870542",1600000US1870542,Somerville,Somerville town,"43",C1,N,G4110,A,"925498","3336","+38.2796732","-087.3757477","199544","500132","417095","417341","18","051","18051",IN,US,"4",ISRR,,,,,,,,,,,,NORTHERN,PETERSBURG,#N\A,,,,1,M,2.25600908,3.63070194,C,0.0339584835651596,0
South Bend city," 103,110 ","18","71000","02395913","1871000",1600000US1871000,South Bend,South Bend city,"25",C1,Y,G4110,A,"108508377","1111610","+41.6766433","-086.2688089",1," 103,110 ","18","71000","02395913","1871000",1600000US1871000,South Bend,South Bend city,"25",C1,Y,G4110,A,"108508377","1111610","+41.6766433","-086.2688089",12," 103,110 ","18","71000","02395913","1871000",1600000US1871000,South Bend,South Bend city,"25",C1,Y,G4110,A,"108508377","1111610","+41.6766433","-086.2688089","191265","491847","424068","424087","18","141","18141",IN,US,"4",NS,,,,,,,,,,,,,,,,,,1,I,0.34298428,0.5519808,E,0.00646149354402618,0
Southport city," 2,081 ","18","71486","02395920","1871486",1600000US1871486,Southport,Southport city,"25",C1,N,G4110,A,"1625460","0","+39.6599801","-086.1171159",0," 2,081 ","18","71486","02395920","1871486",1600000US1871486,Southport,Southport city,"25",C1,N,G4110,A,"1625460","0","+39.6599801","-086.1171159",0," 2,081 ","18","71486","02395920","1871486",1600000US1871486,Southport,Southport city,"25",C1,N,G4110,A,"1625460","0","+39.6599801","-086.1171159","193618","494203","424657","424740","18","097","18097",IN,US,"4",CSXT,,,INRD,LIRC,,,,,,,,LOUISVILLE,LOUISVILLE SECONDARY,LIRC MAIN,,,S,1,M,3.25608619,5.24017326,E,0.0485226636147434,0
South Whitley town," 1,818 ","18","71612","02397668","1871612",1600000US1871612,South Whitley,South Whitley town,"43",C1,N,G4110,A,"2206383","48076","+41.0840479","-085.6245342",0," 1,818 ","18","71612","02397668","1871612",1600000US1871612,South Whitley,South Whitley town,"43",C1,N,G4110,A,"2206383","48076","+41.0840479","-085.6245342",1," 1,818 ","18","71612","02397668","1871612",1600000US1871612,South Whitley,South Whitley town,"43",C1,N,G4110,A,"2206383","48076","+41.0840479","-085.6245342","196118","496703","427322","427385","18","183","18183",IN,US,"4",NS,,,,,,,,,,,,,,,,,,0,S,1.42137471,2.28748543,E,0.0270254232176067,0
Speedway town," 13,695 ","18","71828","02397670","1871828",1600000US1871828,Speedway,Speedway town,"43",C1,N,G4110,A,"12395665","9152","+39.7936983","-086.2475418",0," 13,695 ","18","71828","02397670","1871828",1600000US1871828,Speedway,Speedway town,"43",C1,N,G4110,A,"12395665","9152","+39.7936983","-086.2475418",3," 13,695 ","18","71828","02397670","1871828",1600000US1871828,Speedway,Speedway town,"43",C1,N,G4110,A,"12395665","9152","+39.7936983","-086.2475418","192968","493553","424314","424334","18","097","18097",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ZIONSVILLE IT,ZIONSVILLE IND TRK,,,,1,I,5.10771451,8.22008615,E,0.074536818157931,0
Spencer town," 2,466 ","18","71972","02397671","1871972",1600000US1871972,Spencer,Spencer town,"43",C1,N,G4110,A,"4129213","0","+39.2862151","-086.7724619",0," 2,466 ","18","71972","02397671","1871972",1600000US1871972,Spencer,Spencer town,"43",C1,N,G4110,A,"4129213","0","+39.2862151","-086.7724619",1," 2,466 ","18","71972","02397671","1871972",1600000US1871972,Spencer,Spencer town,"43",C1,N,G4110,A,"4129213","0","+39.2862151","-086.7724619","194361","494946","420608","421835","18","119","18119",IN,US,"4",ISRR,,,,,,,,,,,,NORTHERN,PETERSBURG,#N\A,,,,1,M,8.9425254,14.39162837,E,0.148532012594151,0
Spiceland town," 955 ","18","72008","02397672","1872008",1600000US1872008,Spiceland,Spiceland town,"43",C1,N,G4110,A,"3776052","0","+39.8431419","-085.4260528",0," 955 ","18","72008","02397672","1872008",1600000US1872008,Spiceland,Spiceland town,"43",C1,N,G4110,A,"3776052","0","+39.8431419","-085.4260528",1," 955 ","18","72008","02397672","1872008",1600000US1872008,Spiceland,Spiceland town,"43",C1,N,G4110,A,"3776052","0","+39.8431419","-085.4260528","195504","496089","428145","428142","18","065","18065",IN,US,"4",CNUR,,,,,,,,,,,,,,,,,,0,O,1.69932527,2.73480439,E,0.0246335522573167,8323.48509322523
Spring Grove town," 333 ","18","72206","02397673","1872206",1600000US1872206,Spring Grove,Spring Grove town,"43",C1,N,G4110,A,"786778","0","+39.8472163","-084.8912217",0," 333 ","18","72206","02397673","1872206",1600000US1872206,Spring Grove,Spring Grove town,"43",C1,N,G4110,A,"786778","0","+39.8472163","-084.8912217",0," 333 ","18","72206","02397673","1872206",1600000US1872206,Spring Grove,Spring Grove town,"43",C1,N,G4110,A,"786778","0","+39.8472163","-084.8912217","205507","506102","429920","429964","18","177","18177",IN,US,"4",XXXX,,,,,,,,,,,,,,,,,,0,T,2.02459406,3.25827482,E,0.0316947705585946,0
Spring Hill town," 95 ","18","72232","02397674","1872232",1600000US1872232,Spring Hill,Spring Hill town,"43",C1,N,G4110,A,"277490","0","+39.8346030","-086.1925508",0," 95 ","18","72232","02397674","1872232",1600000US1872232,Spring Hill,Spring Hill town,"43",C1,N,G4110,A,"277490","0","+39.8346030","-086.1925508",0," 95 ","18","72232","02397674","1872232",1600000US1872232,Spring Hill,Spring Hill town,"43",C1,N,G4110,A,"277490","0","+39.8346030","-086.1925508","192968","493553","424314","424334","18","097","18097",IN,US,"4",CSXT,,,,,,,,,,,,CHICAGO,ZIONSVILLE IT,ZIONSVILLE IND TRK,,,,1,I,5.10771451,8.22008615,E,0.074536818157931,3356.87300939546
Spring Lake town," 210 ","18","72296","02397675","1872296",1600000US1872296,Spring Lake,Spring Lake town,"43",C1,N,G4110,A,"395375","27506","+39.7772355","-085.8558522",0," 210 ","18","72296","02397675","1872296",1600000US1872296,Spring Lake,Spring Lake town,"43",C1,N,G4110,A,"395375","27506","+39.7772355","-085.8558522",0," 210 ","18","72296","02397675","1872296",1600000US1872296,Spring Lake,Spring Lake town,"43",C1,N,G4110,A,"395375","27506","+39.7772355","-085.8558522","334618","491746","425762","426096","18","059","18059",IN,US,"4",CSXT,,,AMTK,,,,,,,,,LOUISVILLE,INDIANAPOLIS (CSXT),#N\A,,A,,1,M,3.83385668,6.17000659,E,0.0706726447198084,8106.87214419334
Springport town," 134 ","18","72332","02397676","1872332",1600000US1872332,Springport,Springport town,"43",C1,N,G4110,A,"311557","0","+40.0471940","-085.3925549",0," 134 ","18","72332","02397676","1872332",1600000US1872332,Springport,Springport town,"43",C1,N,G4110,A,"311557","0","+40.0471940","-085.3925549",0," 134 ","18","72332","02397676","1872332",1600000US1872332,Springport,Springport town,"43",C1,N,G4110,A,"311557","0","+40.0471940","-085.3925549","335284","494317","428015","428012","18","065","18065",IN,US,"4",NS,,,CSXT,,,,,,,,,MIDWEST,NEW CASTLE DISTRICT,#N\A,,,S,1,M,4.70820382,7.57713472,E,0.0683648460670228,0
Spurgeon town," 169 ","18","72440","02397677","1872440",1600000US1872440,Spurgeon,Spurgeon town,"43",C1,N,G4110,A,"454236","545","+38.2555021","-087.2595264",0," 169 ","18","72440","02397677","1872440",1600000US1872440,Spurgeon,Spurgeon town,"43",C1,N,G4110,A,"454236","545","+38.2555021","-087.2595264",1," 169 ","18","72440","02397677","1872440",1600000US1872440,Spurgeon,Spurgeon town,"43",C1,N,G4110,A,"454236","545","+38.2555021","-087.2595264","199626","500214","418306","418322","18","125","18125",IN,US,"4",AWW,,,,,,,,,,,,MIDWEST,SOUTHERN EAST,ENOS MAIN,,,,1,M,0.82560197,1.32868023,C,0.0140575525557285,4185.78688045293
